STRING_KEY,LEVEL,DEST,english,vietnamese,chinese,japanese,korean,french,spanish,german,portuguese,russian,thai,indonesian
CAPACITY_EXCEEDS,WARNING,STDOUT,"[Capacity] File content ({tokens} tokens) exceeds effective limit ({limit} tokens). Safety margin: {safety} tokens. Prompt overhead: {overhead} tokens. Enabling batched processing.",,,,,,,,,,,
WARN_CONTEXT_TRUNCATED,WARNING,BOTH,[Warning] Context truncated at file index {index} ({path}) to fit within limit of {limit} tokens.,,,,,,,,,,,
WARN_PARSE_INDEX,WARNING,BOTH,[Warning] Could not parse index from entry: {entry} in item {name},,,,,,,,,,,
WARN_INVALID_RELATIONSHIP,WARNING,BOTH,"[Warning] Invalid index in relationship: from={from_idx}, to={to_idx}. Max index is {max_idx}. Skipping.",,,,,,,,,,,
WARN_PARSE_RELATIONSHIP,WARNING,BOTH,"[Warning] Could not parse indices from relationship: {rel}, error: {error}. Skipping.",,,,,,,,,,,
WARN_INVALID_ABSTRACTION,WARNING,BOTH,[Warning] Invalid abstraction index {index} in chapter_order. Skipping.,,,,,,,,,,,
WARN_MANIFEST_CACHE_FAIL,WARNING,BOTH,[Warning] Failed to read manifest cache: {error},,,,,,,,,,,
WARN_CHAPTER_MISMATCH,WARNING,STDOUT,"[Warning] Mismatch between chapter order, abstractions, or content at index {index}. Skipping.",,,,,,,,,,,
WARN_NO_GITHUB_TOKEN,WARNING,STDOUT,[Warning] No GitHub token provided. You might hit rate limits for public repositories.,,,,,,,,,,,
WARN_INCREMENTAL_API_ONLY,WARNING,STDOUT,[Warning] --incremental caching is only effective in 'api-reference' mode. Disabling incremental cache for this run.,,,,,,,,,,,
WARN_ADVANCED_OVERRIDES_MODE,WARNING,STDOUT,[Warning] --advanced overrides --mode {mode}. Using 'advanced' mode.,,,,,,,,,,,
WARN_FORCE_BATCH_API_REF,WARNING,STDOUT,[Warning] --force-batch is ignored in api-reference mode (deterministic 1:1 file mapping).,,,,,,,,,,,
WARN_MAX_ABS_API_REF,WARNING,STDOUT,[Warning] --max-abstractions is ignored in api-reference mode (1:1 file-to-chapter mapping).,,,,,,,,,,,
WARN_TOKEN_NO_REPO,WARNING,STDOUT,[Warning] --token is ignored without --repo (local directory mode does not use GitHub tokens).,,,,,,,,,,,
ERROR_FORCE_REBUILD_NO_INCREMENTAL,ERROR,STDOUT,[Error] --force-rebuild requires --incremental.,,,,,,,,,,,
GROUP_EMPTY_FALLBACK,WARNING,BOTH,"[Grouping] LLM returned empty sections, using flat nav",,,,,,,,,,,
GROUP_ERROR_FALLBACK,WARNING,BOTH,"[Grouping] LLM grouping failed ({error}), using flat nav",,,,,,,,,,,
NODE_RETRY_ERROR,WARNING,BOTH,[Retry] {class_name} error: {error},,,,,,,,,,,
FORCE_REBUILD_DELETED,WARNING,STDOUT,[Force Rebuild] Deleted cache manifest: {path},,,,,,,,,,,
FORCE_REBUILD_NO_MANIFEST,WARNING,STDOUT,[Force Rebuild] No cache manifest found at {path} — all chapters will be generated fresh.,,,,,,,,,,,
START_GENERATION,INFO,STDOUT,[Start] Generating documentation for: {source} in {language},,,,,,,,,,,
CRAWL_REPOSITORY,INFO,STDOUT,[Crawl] Repository: {url},,,,,,,,,,,
CRAWL_DIRECTORY,INFO,STDOUT,[Crawl] Directory: {path},,,,,,,,,,,
CRAWL_GITIGNORE_LOADED,INFO,STDOUT,[Crawl] Loaded .gitignore from {path},,,,,,,,,,,
PREPARING_WRITE_CHAPTERS,INFO,STDOUT,[Write] Preparing {count} chapters...,,,,,,,,,,,
COMBINE_FORMAT_MKDOCS,INFO,STDOUT,  Output format: MkDocs ({mode} mode),,,,,,,,,,,
COMBINE_FORMAT_STANDALONE,INFO,STDOUT,  Output format: Standalone Markdown,,,,,,,,,,,
COMBINE_CHAPTER_COUNT,INFO,STDOUT,  Chapters: {count},,,,,,,,,,,
COMBINE_NAV_GROUPED,INFO,STDOUT,  Nav style: Grouped ({count} sections),,,,,,,,,,,
COMBINE_NAV_FLAT,INFO,STDOUT,  Nav style: Flat listing,,,,,,,,,,,
CLEANUP_START,INFO,STDOUT,[Cleanup] Removing cache and logs...,,,,,,,,,,,
CLEANUP_REMOVED,INFO,STDOUT,  - Removed {path},,,,,,,,,,,
CLEANUP_REMOVED_DIR,INFO,STDOUT,  - Removed {path} directory,,,,,,,,,,,
CLEANUP_FAILED,WARNING,STDOUT,  - Failed to remove {path}: {error},,,,,,,,,,,
CFG_HEADER,INFO,STDOUT,Configuration:,,,,,,,,,,,
CFG_AI_PROVIDER,INFO,STDOUT,  AI Provider: {value},,,,,,,,,,,
CFG_AI_ENDPOINT,INFO,STDOUT,  AI Endpoint: {value},,,,,,,,,,,
CFG_AI_MODEL,INFO,STDOUT,  AI Model: {value},,,,,,,,,,,
CFG_CONTEXT_LENGTH,INFO,STDOUT,  Context Length: {value} tokens,,,,,,,,,,,
CFG_THINKING_LEVEL,INFO,STDOUT,  Thinking Level: {value},,,,,,,,,,,
CFG_BATCH_SIZE,INFO,STDOUT,  Batch Size: {value} files/batch,,,,,,,,,,,
CFG_FORCE_BATCH,INFO,STDOUT,  Force Batch: {value},,,,,,,,,,,
CFG_OUTPUT_MODE,INFO,STDOUT,  Output Mode: {value},,,,,,,,,,,
CFG_MKDOCS,INFO,STDOUT,  MkDocs Output: {value},,,,,,,,,,,
CFG_INCREMENTAL,INFO,STDOUT,  Incremental: {value},,,,,,,,,,,
CFG_FORCE_REBUILD,INFO,STDOUT,  Force Rebuild: {value},,,,,,,,,,,
CFG_MAX_ABSTRACTIONS,INFO,STDOUT,  Max Abstractions: {value},,,,,,,,,,,
CFG_LLM_CACHING,INFO,STDOUT,  LLM Caching: {value},,,,,,,,,,,
CFG_DEBUG_MODE,INFO,STDOUT,  Debug Mode: Enabled,,,,,,,,,,,
CFG_LOG_FILE,INFO,STDOUT,  Log File: {value},,,,,,,,,,,
CFG_VALUE_ENABLED,UI,BOTH,Enabled,Đã bật,,,,,,,,,,
CFG_VALUE_DISABLED,UI,BOTH,Disabled,Đã tắt,,,,,,,,,,
CFG_VALUE_API_REF_MAX,UI,BOTH,Ignored (api-reference uses 1:1 file mapping),Bỏ qua (api-reference dùng ánh xạ tệp 1:1),,,,,,,,,,
TOKEN_ANALYTICS,WARNING,STDOUT,[Token Analytics] {node_name}: {token_count} / {max_tokens} tokens ({percentage}% capacity),,,,,,,,,,,
FILE_WROTE,FILE_WRITE,STDOUT,  - Wrote {path},,,,,,,,,,,
SKIP_NON_CODE_FILE,DEBUG,STDOUT,  - Skipping non-code file: {path},,,,,,,,,,,
CRAWL_DIR_EXCLUDED,DEBUG,STDOUT,[{num}] {path}/ [{reason}],,,,,,,,,,,
CRAWL_FILE_PROCESSED,SUCCESS,STDOUT,[{num}] {path} [processed],,,,,,,,,,,
CRAWL_FILE_EXCLUDED,DEBUG,STDOUT,[{num}] {path} [excluded],,,,,,,,,,,
CRAWL_FILE_GITIGNORE,DEBUG,STDOUT,[{num}] {path} [excluded (.gitignore)],,,,,,,,,,,
CRAWL_FILE_NOT_INCLUDED,DEBUG,STDOUT,[{num}] {path} [excluded (not in include list)],,,,,,,,,,,
CRAWL_FILE_SIZE_LIMIT,ERROR,STDOUT,[{num}] {path} [size limit: {size}KB],,,,,,,,,,,
CRAWL_FILE_NOT_TEXT,ERROR,STDOUT,[{num}] {path} [cannot process: not a text file],,,,,,,,,,,
CRAWL_FILE_ERROR,ERROR,STDOUT,[{num}] {path} [cannot process: {error}],,,,,,,,,,,
CRAWL_FILE_HTTP_ERROR,ERROR,STDOUT,[{num}] {path} [cannot process: HTTP {status}],,,,,,,,,,,
CRAWL_FILE_UNEXPECTED,ERROR,STDOUT,[{num}] {path} [cannot process: unexpected format],,,,,,,,,,,
CRAWL_SUMMARY_HEADER,INFO,STDOUT,Crawl Summary:,,,,,,,,,,,
CRAWL_SUMMARY_TOTAL,INFO,STDOUT,  Total found: {count},,,,,,,,,,,
CRAWL_SUMMARY_PROCESSED,SUCCESS,STDOUT,  Processed: {count},,,,,,,,,,,
CRAWL_SUMMARY_EXCLUDED,DEBUG,STDOUT,  Excluded: {count},,,,,,,,,,,
CRAWL_SUMMARY_SIZE_LIMIT,ERROR,STDOUT,  Size limit: {count},,,,,,,,,,,
CRAWL_SUMMARY_NON_TEXT,ERROR,STDOUT,  Non-text: {count},,,,,,,,,,,
CRAWL_SUMMARY_ITEM,ERROR,STDOUT,    - {name},,,,,,,,,,,
BATCH_FILE_ITEM,SUCCESS,STDOUT,    - [{index}] {path},,,,,,,,,,,
CRAWL_REASON_EXCLUDED,DEBUG,STDOUT,excluded,,,,,,,,,,,
CRAWL_REASON_GITIGNORE,DEBUG,STDOUT,excluded (.gitignore),,,,,,,,,,,
UI_TUTORIAL,UI,BOTH,Tutorial,Hướng dẫn,教程,チュートリアル,튜토리얼,Tutoriel,Tutorial,Anleitung,Tutorial,Руководство,บทเรียน,Tutorial
UI_SOURCE_REPO,UI,BOTH,Source Repository,Kho mã nguồn,源代码仓库,ソースリポジトリ,소스 저장소,Dépôt source,Repositorio fuente,Quellrepository,Repositório fonte,Исходный репозиторий,แหล่งโค้ด,Repositori Sumber
UI_CHAPTERS,UI,BOTH,Chapters,Các chương,章节,章,챕터,Chapitres,Capítulos,Kapitel,Capítulos,Главы,บท,Bab
UI_TOC,UI,BOTH,Table of Contents,Mục lục,目录,目次,목차,Table des matières,Tabla de contenidos,Inhaltsverzeichnis,Índice,Оглавление,สารบัญ,Daftar Isi
UI_CHAPTER,UI,BOTH,Chapter,Chương,第,章,챕터,Chapitre,Capítulo,Kapitel,Capítulo,Глава,บท,Bab
UI_FULL_CONTENT,UI,BOTH,Full Content,Nội dung đầy đủ,完整内容,全文,전체 내용,Contenu complet,Contenido completo,Vollständiger Inhalt,Conteúdo completo,Полное содержание,เนื้อหาทั้งหมด,Konten Lengkap
SELFTEST_LLM_CALL,PROGRESS,BOTH,[Self-test] Making LLM call...,,,,,,,,,,,
SELFTEST_LLM_RESPONSE,RESULT,BOTH,[Self-test] Response: {response},,,,,,,,,,,
